Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	26.302631	15.103171	93.0	8.0	26.302631	-0.022028496	0.13896132	0.57764745	-0.81012535	4000	-0.012979684	399.20706	-0.0024691084	-236.0322	0.68720376	0.0002624017	5.027392148971558
1	27.342466	15.483724	103.0	9.0	27.342466	10.235734	1.1890693	13.1688385	3.6544266	8000	-0.011005813	176.37297	-0.002220652	-51.90255	0.6825395	0.00020194468	8.492158889770508
2	26.972973	16.769884	96.0	9.0	26.972973	16.367558	1.7371224	18.924492	6.149042	12000	-0.023341699	141.13612	-0.0033345707	-19.52369	0.6891156	0.0009671767	11.7118558883667
3	32.565575	21.406673	120.0	9.0	32.565575	17.092655	3.952026	21.537222	-4.4220295	16000	-0.023057159	184.30145	-0.0028883014	-26.084015	0.6802334	-0.00017555097	14.663470983505249
4	32.958332	21.385117	117.0	10.0	32.958332	20.02273	5.44665	25.884663	-1.022639	20000	-0.026283573	176.9724	-0.0026988685	-14.311203	0.675262	-0.0003550486	18.19615912437439
5	33.88034	17.95872	96.0	9.0	33.88034	20.01569	6.086848	26.333591	-1.7584362	24000	-0.03712023	116.0922	-0.003003046	-5.6052475	0.67581224	-3.8696944e-05	21.055341720581055
6	32.694214	19.257645	109.0	11.0	32.694214	19.767506	6.6172795	27.17484	-1.2789643	28000	-0.037521046	122.68313	-0.0029945672	-4.2309113	0.6735248	6.9647285e-05	24.373945474624634
7	31.65873	19.419006	105.0	9.0	31.65873	19.731379	7.180998	26.96621	-0.9029005	32000	-0.044512663	124.55634	-0.003242623	-1.269371	0.6770095	0.0006936459	28.428358554840088
8	38.411766	23.416668	119.0	11.0	38.411766	20.33704	6.8181386	26.988108	1.4799662	36000	-0.04165979	178.35733	-0.0027500615	-14.543701	0.6703277	-2.4567276e-05	32.35107922554016
9	38.514565	23.932293	109.0	10.0	38.514565	22.380705	8.019486	30.196247	0.64919645	40000	-0.045681726	162.06566	-0.0026121885	-5.106827	0.6683014	5.772178e-05	36.60238003730774
10	38.815533	23.90383	122.0	8.0	38.815533	23.064678	7.754292	31.098818	0.6559299	44000	-0.04582274	174.04765	-0.0026911236	-6.8679504	0.6693257	0.00019473642	40.87953543663025
11	42.903225	26.748556	131.0	9.0	42.903225	23.170944	7.8932605	30.933176	0.90506816	48000	-0.04492405	186.27127	-0.0022837669	-7.34758	0.6634157	-9.076489e-05	45.6578528881073
12	41.061855	25.510786	168.0	10.0	41.061855	24.744513	9.173527	33.601994	-0.1256349	52000	-0.048328903	183.51447	-0.0024054497	-6.170532	0.66406536	0.00018374124	49.144585371017456
13	42.16129	28.56507	153.0	11.0	42.16129	24.144651	8.415154	32.724586	0.9966715	56000	-0.051137615	215.36826	-0.0024123564	-8.683395	0.6606654	3.9809755e-05	52.68439078330994
14	43.23077	27.712448	142.0	12.0	43.23077	25.100447	9.171878	34.59511	-0.6383557	60000	-0.058144517	180.92537	-0.002480965	-13.963654	0.6589663	6.6798086e-05	56.29029846191406
15	46.453487	24.82996	125.0	13.0	46.453487	25.148624	10.549508	36.33634	0.8992865	64000	-0.052092355	166.83989	-0.002137605	-7.999832	0.65483344	6.0424252e-05	59.81701636314392
16	46.964706	32.753426	200.0	10.0	46.964706	24.404558	8.950564	34.73012	0.93725127	68000	-0.053273797	282.04895	-0.0024846233	-21.618408	0.6588411	0.00047173916	63.41716480255127
17	49.34568	29.654871	160.0	14.0	49.34568	27.722149	9.059487	36.2107	2.2796972	72000	-0.051618733	229.27663	-0.0018630326	-22.097153	0.65161306	-4.1738356e-05	67.09823966026306
18	46.069767	24.202053	107.0	13.0	46.069767	27.087011	9.679557	37.194973	-2.2209375	76000	-0.05778863	169.98967	-0.0020694882	-12.751862	0.65321136	0.0003022201	70.61688137054443
19	54.916668	37.643703	200.0	12.0	54.916668	24.922304	8.659748	34.106766	0.24871708	80000	-0.049074806	369.56793	-0.00200155	-55.41629	0.6504349	0.00014264393	74.12999749183655
20	48.780487	28.063093	129.0	10.0	48.780487	29.931097	9.142511	38.424747	-1.4932811	84000	-0.057178956	229.98189	-0.0017472878	-37.648743	0.6480364	0.00020132874	78.1104428768158
21	55.09722	35.456997	184.0	13.0	55.09722	27.216272	9.195121	36.87657	-0.9155555	88000	-0.045246463	289.8822	-0.0016943105	-30.778656	0.64496046	-4.908843e-05	81.56977438926697
22	62.50794	39.682022	189.0	13.0	62.50794	29.570934	9.951163	40.073692	-0.8957123	92000	-0.054684326	309.3135	-0.0015820079	-28.488983	0.64266807	5.897096e-05	85.05086183547974
23	56.842857	33.21387	159.0	16.0	56.842857	33.35977	11.605969	43.55004	3.199141	96000	-0.058365393	269.42685	-0.001949396	-32.85031	0.64465576	0.0002270836	88.54287648200989
24	52.386665	27.848589	131.0	16.0	52.386665	30.786587	9.761016	39.342335	1.6698784	100000	-0.06211158	205.74539	-0.0016926154	-23.509644	0.6436322	0.00027007557	92.0566201210022
25	66.61017	44.247	200.0	17.0	66.61017	27.980099	9.2373295	37.83131	-1.1048057	104000	-0.046970014	365.7187	-0.0013889931	-74.71838	0.6344881	-0.00015887141	95.48322582244873
26	60.39394	36.060085	155.0	11.0	60.39394	33.44461	12.645154	45.846992	1.1105295	108000	-0.06074138	256.46347	-0.0015482157	-33.36209	0.63998276	0.00016083378	98.96868753433228
27	67.47458	40.094532	181.0	11.0	67.47458	32.0607	11.869486	43.884583	1.7132325	112000	-0.049775444	273.59543	-0.0013550706	-30.975845	0.63868177	9.905715e-05	102.59415435791016
28	54.78873	32.169846	154.0	12.0	54.78873	31.480776	12.898083	46.15238	2.156916	116000	-0.060585994	252.3247	-0.0015952066	-25.599228	0.63661367	0.00023008902	106.13565063476562
29	66.35	44.469025	200.0	13.0	66.35	30.954384	10.313898	43.007027	0.68829495	120000	-0.054965667	318.1467	-0.0012664348	-34.110077	0.63801354	0.00016779908	109.58300590515137
30	69.73684	39.300697	200.0	17.0	69.73684	35.463566	11.753943	48.435535	0.18491518	124000	-0.06359472	277.42578	-0.0016507432	-35.720886	0.6394237	0.00031900167	113.53120589256287
31	70.052635	49.385494	200.0	13.0	70.052635	32.88171	12.294584	47.93482	0.90250516	128000	-0.052329805	391.31873	-0.0015654676	-83.59921	0.6310609	7.948624e-05	116.95497536659241
